                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.65367,                0.88019,                 1.1145,                0.62887,                    0.8,                0.96303,                 0.7364,                 1.2242,                  1.011,                 1.1901,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.59789,                0.54582,                0.98117,                0.62887,                    0.8,                0.96303,                 0.7364,                 1.2242,                  1.011,                 1.1901,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.68544,                0.83772,                 1.1278,                 0.9064,                0.60595,                 0.8791,                 0.6948,                 1.2466,                 1.0443,                 1.2051,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 0.6439,                0.80568,                 1.0735,                 0.9064,                0.60595,                 0.8791,                 0.6948,                 1.2466,                 1.0443,                 1.2051,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.54916,                0.56232,                 1.0671,                 0.9064,                0.60595,                 0.8791,                 0.6948,                 1.2466,                 1.0443,                 1.2051,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.72811,                 1.0647,                 1.1368,                 0.9032,                0.60827,                0.87951,                0.66963,                 1.2542,                 1.0696,                 1.2111,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 0.5349,                0.63161,                0.95532,                 0.9032,                0.60827,                0.87951,                0.66963,                 1.2542,                 1.0696,                 1.2111,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.57736,                0.71659,                 1.1256,                 0.9032,                0.60827,                0.87951,                0.66963,                 1.2542,                 1.0696,                 1.2111,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.59112,                0.57573,                   1.01,                0.90338,                0.60547,                0.87952,                0.66108,                  1.261,                 1.0796,                 1.2167,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.65042,                0.75332,                 1.0926,                0.90338,                0.60547,                0.87952,                0.66108,                  1.261,                 1.0796,                 1.2167,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.53513,                0.45267,                0.95971,                0.90338,                0.60547,                0.87952,                0.66108,                  1.261,                 1.0796,                 1.2167,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                  0.743,                0.66053,                 1.0439,                0.90221,                0.60549,                0.87946,                0.67771,                 1.2731,                 1.1084,                 1.2165,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.60775,                0.67308,                 1.0752,                0.90221,                0.60549,                0.87946,                0.67771,                 1.2731,                 1.1084,                 1.2165,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.57343,                0.56215,                 1.0393,                0.90221,                0.60549,                0.87946,                0.67771,                 1.2731,                 1.1084,                 1.2165,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.65657,                 0.5923,                 1.1554,                0.90281,                0.60461,                0.87814,                0.66051,                  1.287,                 1.1333,                 1.2222,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.51903,                0.51438,                0.95598,                0.90281,                0.60461,                0.87814,                0.66051,                  1.287,                 1.1333,                 1.2222,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.55379,                0.59074,                0.96207,                0.90281,                0.60461,                0.87814,                0.66051,                  1.287,                 1.1333,                 1.2222,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.47383,                0.59513,                0.96166,                0.90209,                0.60464,                0.87859,                0.66845,                 1.2832,                 1.1401,                 1.2238,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.54463,                0.74305,                 1.1471,                0.90209,                0.60464,                0.87859,                0.66845,                 1.2832,                 1.1401,                 1.2238,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.45562,                0.42417,                 0.8647,                0.90209,                0.60464,                0.87859,                0.66845,                 1.2832,                 1.1401,                 1.2238,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.46406,                0.43895,                 0.9926,                0.89947,                0.60705,                0.87903,                0.66853,                 1.2955,                 1.1498,                 1.2264,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.53542,                0.78151,                0.99562,                0.89947,                0.60705,                0.87903,                0.66853,                 1.2955,                 1.1498,                 1.2264,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.58422,                0.85769,                 1.1642,                0.89947,                0.60705,                0.87903,                0.66853,                 1.2955,                 1.1498,                 1.2264,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.61312,                0.71941,                 1.1222,                0.89867,                0.60996,                0.87923,                0.66734,                 1.3033,                 1.1678,                 1.2304,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.77857,                0.84579,                 1.1123,                0.89867,                0.60996,                0.87923,                0.66734,                 1.3033,                 1.1678,                 1.2304,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.65228,                0.57088,                 1.0069,                0.89867,                0.60996,                0.87923,                0.66734,                 1.3033,                 1.1678,                 1.2304,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.63932,                0.81956,                 1.1161,                0.89867,                0.60996,                0.87923,                0.66734,                 1.3033,                 1.1678,                 1.2304,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 0.7281,                0.55595,                 1.1279,                0.89288,                0.60924,                 0.8782,                0.68198,                 1.2994,                 1.1956,                 1.2258,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.65673,                0.73678,                 1.0124,                0.89288,                0.60924,                 0.8782,                0.68198,                 1.2994,                 1.1956,                 1.2258,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.47873,                0.56994,                 1.0849,                0.89288,                0.60924,                 0.8782,                0.68198,                 1.2994,                 1.1956,                 1.2258,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.50158,                 0.5104,                0.88352,                0.89288,                0.60924,                 0.8782,                0.68198,                 1.2994,                 1.1956,                 1.2258,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.46317,                0.47849,                0.93373,                    0.9,                0.60606,                0.96129,                0.75685,                 1.2815,                 1.1764,                 1.2269,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.48516,                0.42872,                0.80321,                    0.9,                0.60606,                0.96129,                0.75685,                 1.2815,                 1.1764,                 1.2269,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.68737,                0.59075,                 1.0501,                    0.9,                0.60606,                0.96129,                0.75685,                 1.2815,                 1.1764,                 1.2269,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.51785,                0.44197,                0.98578,                    0.9,                0.60606,                0.96129,                0.75685,                 1.2815,                 1.1764,                 1.2269,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.43848,                0.49021,                0.98812,                0.89795,                0.60215,                 0.9694,                0.76851,                   1.26,                 1.1717,                 1.2092,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.47539,                0.45322,                0.95868,                0.89795,                0.60215,                 0.9694,                0.76851,                   1.26,                 1.1717,                 1.2092,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.38738,                0.34992,                0.93473,                0.89795,                0.60215,                 0.9694,                0.76851,                   1.26,                 1.1717,                 1.2092,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.56765,                0.68008,                0.98034,                0.89795,                0.60215,                 0.9694,                0.76851,                   1.26,                 1.1717,                 1.2092,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.45433,                0.53188,                0.95012,                0.89908,                0.58353,                0.95394,                0.76022,                 1.2562,                 1.1728,                 1.2073,             2.3444e-06,             2.3444e-06,             2.3444e-06
